title,url,city,location,property_type,latitude,longitude,price,rating,reviews,guests,studio,bedrooms,beds,baths,shared_bath,kitchen,wifi,washer,tv,parking,refrigerator
Sentralt beliggende leilighet i Stavanger,https://www.airbnb.com/rooms/49409673?adults=1&children=0&infants=0&check_in=2021-06-20&check_out=2021-06-26&previous_page_section_name=1000&federated_search_id=d4303ca7-e6bc-4396-890d-528b458ff7ac,Stavanger,Stavanger,Entire apartment,58.97015,5.74892,97,,,3,0,2,2,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0
Modern holiday house - Pulpit Rock/Preikestolen,https://www.airbnb.com/rooms/47398097?adults=1&children=0&infants=0&check_in=2021-06-18&check_out=2021-06-24&previous_page_section_name=1000&federated_search_id=d4303ca7-e6bc-4396-890d-528b458ff7ac,Stavanger,Strand,Entire cabin,58.99109,5.93914,230,,,9,0,4,5,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0
Stor lys leilighet nær Stavanger sentrum 87m2,https://www.airbnb.com/rooms/48653330?adults=1&children=0&infants=0&check_in=2021-06-08&check_out=2021-06-15&previous_page_section_name=1000&federated_search_id=d4303ca7-e6bc-4396-890d-528b458ff7ac,Stavanger,Stavanger,Entire condominium,58.96029,5.74718,67,,,4,0,2,2,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0
Modern apartment close to the fjord!,https://www.airbnb.com/rooms/49190494?adults=1&children=0&infants=0&check_in=2021-07-28&check_out=2021-08-03&previous_page_section_name=1000&federated_search_id=d4303ca7-e6bc-4396-890d-528b458ff7ac,Stavanger,Stavanger,Entire condominium,58.91528,5.73692,66,,,4,0,1,2,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0
"Komfort, Boblebad, vedovn,varmepumpe, uteplass",https://www.airbnb.com/rooms/49150664?adults=1&children=0&infants=0&check_in=2021-06-12&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=d4303ca7-e6bc-4396-890d-528b458ff7ac,Stavanger,Stavanger,Entire apartment,59.00164,5.72883,60,,,4,0,2,2,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Romslig feriehus med utsikt,https://www.airbnb.com/rooms/43703398?adults=1&children=0&infants=0&check_in=2021-06-07&check_out=2021-06-12&previous_page_section_name=1000&federated_search_id=d4303ca7-e6bc-4396-890d-528b458ff7ac,Stavanger,Sola,Entire cabin,58.94014,5.62402,188,4.93,15,8,0,4,6,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Gamle Stavanger - Best location in town,https://www.airbnb.com/rooms/plus/17940106?adults=1&children=0&infants=0&check_in=2021-08-22&check_out=2021-08-27&previous_page_section_name=1000&federated_search_id=d4303ca7-e6bc-4396-890d-528b458ff7ac,Stavanger,Stavanger,Entire house,58.9712,5.7268,132,4.95,181,4,0,1,1,1,0.0,,,,,,
Beautiful flat at Våland in Stavanger,https://www.airbnb.com/rooms/48538476?adults=1&children=0&infants=0&check_in=2021-08-19&check_out=2021-08-24&previous_page_section_name=1000&federated_search_id=d4303ca7-e6bc-4396-890d-528b458ff7ac,Stavanger,Stavanger,Entire condominium,58.96103,5.72723,115,5.0,4,5,0,3,3,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Penthouse - Lervigbrygga,https://www.airbnb.com/rooms/26832196?adults=1&children=0&infants=0&check_in=2021-08-08&check_out=2021-08-14&previous_page_section_name=1000&federated_search_id=e83adee5-7b51-4b4d-94a6-2ac83df1fa18,Stavanger,Stavanger,Entire apartment,58.96545,5.7657,153,4.89,27,5,0,3,4,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Charming house with jacuzzi at Hommersåk.,https://www.airbnb.com/rooms/20451622?adults=1&children=0&infants=0&check_in=2021-06-20&check_out=2021-06-26&previous_page_section_name=1000&federated_search_id=e83adee5-7b51-4b4d-94a6-2ac83df1fa18,Stavanger,Sandnes,Entire house,58.92022,5.8519,230,4.96,26,6,0,3,3,2.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Newly renovated apartment near city centre!,https://www.airbnb.com/rooms/36066931?adults=1&children=0&infants=0&check_in=2021-06-18&check_out=2021-06-24&previous_page_section_name=1000&federated_search_id=e83adee5-7b51-4b4d-94a6-2ac83df1fa18,Stavanger,Stavanger,Entire apartment,58.96663,5.71072,54,4.80,119,3,0,1,2,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0
Cozy apartment in the heart of Stavanger,https://www.airbnb.com/rooms/43924313?adults=1&children=0&infants=0&check_in=2021-07-04&check_out=2021-07-10&previous_page_section_name=1000&federated_search_id=e83adee5-7b51-4b4d-94a6-2ac83df1fa18,Stavanger,Stavanger,Entire apartment,58.95763,5.73397,120,5.0,3,4,0,2,2,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Leilighet nær sentrum. Rolig område.,https://www.airbnb.com/rooms/49170112?adults=1&children=0&infants=0&check_in=2021-08-21&check_out=2021-08-28&previous_page_section_name=1000&federated_search_id=e83adee5-7b51-4b4d-94a6-2ac83df1fa18,Stavanger,Storhaug,Entire apartment,58.97016,5.74292,92,,,6,0,2,3,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
"Sunny, quiet and close to the center of Stavanger!",https://www.airbnb.com/rooms/13518910?adults=1&children=0&infants=0&check_in=2021-06-28&check_out=2021-07-04&previous_page_section_name=1000&federated_search_id=e83adee5-7b51-4b4d-94a6-2ac83df1fa18,Stavanger,Stavanger,Entire apartment,58.96536,5.75307,89,4.95,88,4,0,2,3,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
200 y/old log house ☆ Historical Centre ☆,https://www.airbnb.com/rooms/36557499?adults=1&children=0&infants=0&check_in=2021-08-31&check_out=2021-09-07&previous_page_section_name=1000&federated_search_id=e83adee5-7b51-4b4d-94a6-2ac83df1fa18,Stavanger,Stavanger,Entire apartment,58.9733,5.7256,87,4.41,44,4,0,2,2,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Home from home in Stavanger Center,https://www.airbnb.com/rooms/48091970?adults=1&children=0&infants=0&check_in=2021-06-26&check_out=2021-07-02&previous_page_section_name=1000&federated_search_id=e83adee5-7b51-4b4d-94a6-2ac83df1fa18,Stavanger,Storhaug,Entire cottage,58.97107,5.74079,134,,,4,0,2,2,1.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0
New studio-apartment in old wooden house,https://www.airbnb.com/rooms/34644346?adults=1&children=0&infants=0&check_in=2021-08-11&check_out=2021-08-16&previous_page_section_name=1000&federated_search_id=e83adee5-7b51-4b4d-94a6-2ac83df1fa18,Stavanger,Storhaug,Entire guest suite,58.96927,5.73726,65,5.0,26,2,0,1,1,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0
